task,dim,n_classes,n_per_class,n_total,recall@1,exact_match@1,recall@5,exact_match@5,recall@10,exact_match@10,recall@30,exact_match@30,mean_abs_cosine_err,max_abs_cosine_err
speaker_verification,256,10,30,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00334024,0.01692817
speaker_verification,256,50,30,1500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00328249,0.02007326
speaker_verification,256,100,30,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.999989,0.999667,0.00327808,0.0213066
speaker_verification,256,500,6,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00327143,0.02269453
speaker_verification,256,1000,3,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00327185,0.02179125
speaker_verification,512,10,30,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00231818,0.01327997
speaker_verification,512,50,30,1500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00231225,0.0142512
speaker_verification,512,100,30,3000,1.0,1.0,0.999933,0.999667,1.0,1.0,1.0,1.0,0.0023139,0.01432753
speaker_verification,512,500,6,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00231252,0.01572385
speaker_verification,512,1000,3,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00231296,0.01460725
semantic_retrieval,32,10,20,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01003282,0.04580462
semantic_retrieval,32,50,20,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00943298,0.05188578
semantic_retrieval,32,100,20,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00940064,0.0495894
semantic_retrieval,32,500,6,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00932545,0.05616105
semantic_retrieval,32,1000,3,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00931811,0.05307245
semantic_retrieval,64,10,20,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00695403,0.03610981
semantic_retrieval,64,50,20,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00664833,0.0359478
semantic_retrieval,64,100,20,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00659768,0.0384478
semantic_retrieval,64,500,6,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00657017,0.03979135
semantic_retrieval,64,1000,3,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00656688,0.03920823
semantic_retrieval,128,10,20,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00477544,0.02679446
semantic_retrieval,128,50,20,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00465632,0.02826694
semantic_retrieval,128,100,20,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.999983,0.9995,0.0046502,0.02998123
semantic_retrieval,128,500,6,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.999989,0.999667,0.00463563,0.02901787
semantic_retrieval,128,1000,3,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00463071,0.02938035
semantic_retrieval,384,10,20,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00268822,0.01466548
semantic_retrieval,384,50,20,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00267434,0.01594898
semantic_retrieval,384,100,20,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00267362,0.01669353
semantic_retrieval,384,500,6,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00266976,0.02097517
semantic_retrieval,384,1000,3,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00266969,0.01676112
semantic_retrieval,768,10,20,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00191342,0.00897658
semantic_retrieval,768,50,20,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00189308,0.01065382
semantic_retrieval,768,100,20,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00188791,0.01218355
semantic_retrieval,768,500,6,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00188828,0.01193964
semantic_retrieval,768,1000,3,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00188648,0.01206189
anomaly_detection,32,10,50,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01005314,0.05136114
anomaly_detection,32,50,50,2500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00946851,0.05205792
anomaly_detection,32,100,30,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00939213,0.05250114
anomaly_detection,64,10,50,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00696474,0.04193801
anomaly_detection,64,50,50,2500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00663368,0.04129082
anomaly_detection,64,100,30,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00660414,0.03962058
anomaly_detection,128,10,50,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00479401,0.0258373
anomaly_detection,128,50,50,2500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00466385,0.02882332
anomaly_detection,128,100,30,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00464904,0.03018808
